# generated by pk/render/oracle/run_svg_primitive.sh
# qt=5.15.7
# comparator=QSvgRenderer (Qt5Svg 5.15.7) + QSvgGenerator
svg-ellipse#0:nopen:fill doc=b3c1bf54 qt=fe79b90d pk=fe79b90d
svg-ellipse#1:pen2.5:nofill doc=fd501ebd qt=499cbca5 pk=499cbca5
svg-ellipse#2:pen2.5:fill doc=d078cb9b qt=8a36a5c5 pk=8a36a5c5
svg-ellipse#3:nopen:fill doc=2fd1fc13 qt=e519cb16 pk=e519cb16
svg-ellipse#4:pen2.5:nofill doc=f731c4f8 qt=1e71b325 pk=1e71b325
svg-ellipse#5:pen2.5:fill doc=c99561a qt=53ead09 pk=53ead09
svg-ellipse#6:nopen:fill doc=220c42f0 qt=67f9257b pk=67f9257b
svg-ellipse#7:pen2.5:nofill doc=c66e9679 qt=c62bc294 pk=c62bc294
svg-ellipse#8:pen2.5:fill doc=f59e929f qt=4392a722 pk=4392a722
svg-ellipse#9:nopen:fill doc=c9efd141 qt=bf7d514 pk=bf7d514
svg-ellipse#10:pen2.5:nofill doc=e9014ca qt=91eeda43 pk=91eeda43
svg-ellipse#11:pen2.5:fill doc=1c09a498 qt=49224c7d pk=49224c7d
svg-ellipse#12:nopen:fill doc=28c4ad16 qt=1ab915f2 pk=1ab915f2
svg-ellipse#13:pen2.5:nofill doc=76b9f89b qt=8903dad7 pk=8903dad7
svg-ellipse#14:pen2.5:fill doc=822fb795 qt=c413aa61 pk=c413aa61
svg-ellipse#15:nopen:fill doc=bae13c40 qt=76efddc5 pk=76efddc5
svg-ellipse#16:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-ellipse#17:pen2.5:fill doc=d2011a8f qt=76efddc5 pk=76efddc5
svg-ellipse#18:nopen:fill doc=e73a497b qt=d1b17971 pk=d1b17971
svg-ellipse#19:pen2.5:nofill doc=3ee55480 qt=346a7e05 pk=346a7e05
svg-ellipse#20:pen2.5:fill doc=d7ef64b2 qt=346a7e05 pk=346a7e05
svg-polygon#21:nopen:fill doc=401de1ed qt=a0eb2393 pk=a0eb2393
svg-polygon#22:pen2.5:nofill doc=ee583726 qt=a8f51263 pk=a8f51263
svg-polygon#23:pen2.5:fill doc=bc43c4ac qt=fb03ad7 pk=fb03ad7
svg-polygon#24:nopen:fill doc=51e280d7 qt=76efddc5 pk=76efddc5
svg-polygon#25:pen2.5:nofill doc=e999459c qt=76efddc5 pk=76efddc5
svg-polygon#26:pen2.5:fill doc=d81c73f6 qt=76efddc5 pk=76efddc5
svg-polygon#27:nopen:fill doc=92214171 qt=76efddc5 pk=76efddc5
svg-polygon#28:pen2.5:nofill doc=9bbb30fa qt=e2669f35 pk=e2669f35
svg-polygon#29:pen2.5:fill doc=796c4568 qt=e2669f35 pk=e2669f35
svg-polygon#30:nopen:fill doc=73859fcd qt=abe1eb05 pk=abe1eb05
svg-polygon#31:pen2.5:nofill doc=ead66786 qt=d2c43b4a pk=d2c43b4a
svg-polygon#32:pen2.5:fill doc=64bb6d8c qt=f011f0a pk=f011f0a
svg-polygon#33:nopen:fill doc=bd499835 qt=8d61e925 pk=8d61e925
svg-polygon#34:pen2.5:nofill doc=ace5d0ce qt=e837a765 pk=e837a765
svg-polygon#35:pen2.5:fill doc=65845944 qt=1a1feefd pk=1a1feefd
svg-arc#36:s0:w2880:nopen:fill doc=97222e62 qt=76efddc5 pk=76efddc5
svg-arc#37:s0:w2880:pen2.5:nofill doc=bbaa2e49 qt=7a32b47f pk=7a32b47f
svg-arc#38:s0:w2880:pen2.5:fill doc=bbaa2e49 qt=7a32b47f pk=7a32b47f
svg-arc#39:s0:w5760:nopen:fill doc=5c58b6f2 qt=76efddc5 pk=76efddc5
svg-arc#40:s0:w5760:pen2.5:nofill doc=ba2b4639 qt=499cbca5 pk=499cbca5
svg-arc#41:s0:w5760:pen2.5:fill doc=ba2b4639 qt=499cbca5 pk=499cbca5
svg-arc#42:s0:w0:nopen:fill doc=ecc93491 qt=76efddc5 pk=76efddc5
svg-arc#43:s0:w0:pen2.5:nofill doc=9edb5688 qt=76efddc5 pk=76efddc5
svg-arc#44:s0:w0:pen2.5:fill doc=9edb5688 qt=76efddc5 pk=76efddc5
svg-arc#45:s1440:w1440:nopen:fill doc=37120b26 qt=76efddc5 pk=76efddc5
svg-arc#46:s1440:w1440:pen2.5:nofill doc=ebd726c5 qt=fb400203 pk=fb400203
svg-arc#47:s1440:w1440:pen2.5:fill doc=ebd726c5 qt=fb400203 pk=fb400203
svg-arc#48:s720:w-960:nopen:fill doc=ac849bbe qt=76efddc5 pk=76efddc5
svg-arc#49:s720:w-960:pen2.5:nofill doc=8654cded qt=c729a1c6 pk=c729a1c6
svg-arc#50:s720:w-960:pen2.5:fill doc=8654cded qt=c729a1c6 pk=c729a1c6
svg-arc#51:s0:w-5760:nopen:fill doc=d58f6cae qt=76efddc5 pk=76efddc5
svg-arc#52:s0:w-5760:pen2.5:nofill doc=fd501ebd qt=499cbca5 pk=499cbca5
svg-arc#53:s0:w-5760:pen2.5:fill doc=fd501ebd qt=499cbca5 pk=499cbca5
svg-arc#54:s-480:w6400:nopen:fill doc=80c3f32d qt=76efddc5 pk=76efddc5
svg-arc#55:s-480:w6400:pen2.5:nofill doc=354ee06c qt=59978080 pk=59978080
svg-arc#56:s-480:w6400:pen2.5:fill doc=354ee06c qt=59978080 pk=59978080
svg-arc#57:s4320:w2880:nopen:fill doc=88aa91a0 qt=76efddc5 pk=76efddc5
svg-arc#58:s4320:w2880:pen2.5:nofill doc=508e3ef qt=73061725 pk=73061725
svg-arc#59:s4320:w2880:pen2.5:fill doc=508e3ef qt=73061725 pk=73061725
svg-arc#60:s0:w2880:nopen:fill doc=24576819 qt=76efddc5 pk=76efddc5
svg-arc#61:s0:w2880:pen2.5:nofill doc=7675dd00 qt=fc092eb8 pk=fc092eb8
svg-arc#62:s0:w2880:pen2.5:fill doc=7675dd00 qt=fc092eb8 pk=fc092eb8
svg-arc#63:s0:w5760:nopen:fill doc=826a216d qt=76efddc5 pk=76efddc5
svg-arc#64:s0:w5760:pen2.5:nofill doc=ec5f972c qt=1e71b325 pk=1e71b325
svg-arc#65:s0:w5760:pen2.5:fill doc=ec5f972c qt=1e71b325 pk=1e71b325
svg-arc#66:s0:w0:nopen:fill doc=4d9024ac qt=76efddc5 pk=76efddc5
svg-arc#67:s0:w0:pen2.5:nofill doc=dca1dba3 qt=76efddc5 pk=76efddc5
svg-arc#68:s0:w0:pen2.5:fill doc=dca1dba3 qt=76efddc5 pk=76efddc5
svg-arc#69:s1440:w1440:nopen:fill doc=5392f5d1 qt=76efddc5 pk=76efddc5
svg-arc#70:s1440:w1440:pen2.5:nofill doc=3c78e148 qt=c5e85a1d pk=c5e85a1d
svg-arc#71:s1440:w1440:pen2.5:fill doc=3c78e148 qt=c5e85a1d pk=c5e85a1d
svg-arc#72:s720:w-960:nopen:fill doc=ca524d1a qt=76efddc5 pk=76efddc5
svg-arc#73:s720:w-960:pen2.5:nofill doc=facd9af1 qt=f6e00a7 pk=f6e00a7
svg-arc#74:s720:w-960:pen2.5:fill doc=facd9af1 qt=f6e00a7 pk=f6e00a7
